name,path,size,file_or_dir
__pycache__,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,11852,directory
csv_to_json.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,1954,file
csv_to_pickle.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,642,file
data.json,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,148,file
direct_info.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,4011,file
file_out.csv,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,88,file
get_from_user.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,3915,file
index.csv,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,88,file
json_in.json,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,458,file
json_pickle.bin,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,239,file
json_to_csv.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,1217,file
json_to_pickle.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,821,file
main.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,773,file
name.csv,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,0,file
name.json,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,0,file
name.pickle,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,0,file
pickle_to_csv.csv,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,205,file
pickle_to_csv.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,1430,file
READAME.md,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,4995,file
result.json,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,225,file
txt_to_json.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,994,file
__init__.py,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8,126,file
csv_to_json.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,1747,file
direct_info.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,2839,file
get_from_user.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,2633,file
json_to_csv.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,1440,file
pickle_to_csv.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,1990,file
txt_to_json.cpython-310.pyc,F:\GIT\Python_Seminar\first_project\Python_next_deep\Seminar_8\__pycache__,1203,file
